time,open,high,low,close,tick_volume,spread,real_volume,pct_change,target
1988-02-11,1.1565,1.1574,1.1561,1.1567,241,50,0,-0.00025929127052715106,-1
1988-02-12,1.1407,1.1415,1.1397,1.1409,341,50,0,-0.013659548716175363,-1
1988-02-15,1.1445,1.1445,1.1445,1.1445,1,50,0,0.0031554036287142484,1
1988-02-16,1.1436,1.145,1.1414,1.1437,711,50,0,-0.0006989951944081918,-1
1988-02-17,1.145,1.1461999999999999,1.143,1.1452,621,50,0,0.0013115327446009406,1
1988-02-18,1.1448,1.1476,1.1432,1.145,861,50,0,-0.00017464198393291053,-1
1988-02-19,1.146,1.1475,1.1454,1.1459,411,50,0,0.0007860262008732022,1
1988-02-22,1.1519,1.1537,1.1494,1.1519,861,50,0,0.005236058992931225,1
1988-02-23,1.1561,1.1562999999999999,1.1561,1.1561,41,50,0,0.003646149839395818,1
1988-02-24,1.1541,1.1557,1.1538,1.1543,361,50,0,-0.0015569587405932506,-1
1988-02-25,1.1529,1.1538,1.1522999999999999,1.1531,281,50,0,-0.001039591094169734,-1
1988-02-26,1.1592,1.1592,1.1592,1.1592,1,50,0,0.005290087589974846,1
1988-02-29,1.1584,1.1585,1.1583,1.1584,41,50,0,-0.0006901311249136732,-1
1988-03-01,1.16,1.1602000000000001,1.1589,1.1597,231,50,0,0.0011222375690607134,1
1988-03-02,1.1548,1.1548,1.1542,1.1547,111,50,0,-0.004311459860308564,-1
1988-03-03,1.1531,1.1532,1.1526,1.1528,91,50,0,-0.0016454490343812411,-1
1988-03-04,1.1565,1.1577,1.155,1.1565,541,50,0,0.003209576682859261,1
1988-03-07,1.1649,1.1662,1.1619,1.1645,821,50,0,0.006917423259835687,1
1988-03-08,1.1711,1.1719,1.1698,1.1713,401,50,0,0.005839416058394109,1
1988-03-09,1.1723,1.1723,1.1715,1.1722,151,50,0,0.0007683770169895077,1
1988-03-10,1.1746,1.1746,1.1745,1.1746,21,50,0,0.0020474321788093164,1
1988-03-11,1.177,1.177,1.1767,1.177,61,50,0,0.0020432487655370757,1
1988-03-14,1.1774,1.1801,1.1757,1.1772,861,50,0,0.00016992353440947738,1
1988-03-15,1.1743999999999999,1.1755,1.1743000000000001,1.1746,221,50,0,-0.002208630648997567,-1
1988-03-16,1.1707,1.1727,1.1703000000000001,1.171,451,50,0,-0.0030648731483058356,-1
1988-03-17,1.1621,1.174,1.1562999999999999,1.1622,3531,50,0,-0.0075149444918873876,-1
